Seq No.,Location,AccX,AccY,AccZ,Classs
16,Kidnapping,-1.072000027,9.5,-1.225000024,1
17,Kidnapping,0.91900003,9.039999962,0.152999997,1
18,Kidnapping,0.305999994,11.79899979,-1.072000027,1
19,Kidnapping,1.68599999,8.274000168,-1.378000021,1
20,Kidnapping,-0.917999983,12.71800041,1.072000027,1
21,Kidnapping,0.152999997,9.80700016,1.991999984,1
22,Kidnapping,-0.458999991,9.5,3.523999929,1
23,Kidnapping,-0.917999983,8.887000084,2.450999975,1
24,Kidnapping,2.605000019,9.960000038,5.210000038,1
25,Kidnapping,0.152999997,9.80700016,3.983999968,1
26,Kidnapping,3.83100009,9.80700016,3.371000051,1
27,Kidnapping,1.991999984,9.347000122,2.144999981,1
28,Kidnapping,1.838999987,9.194000244,7.355000019,1
29,Kidnapping,-2.604000092,8.734000206,6.129000187,1
30,Kidnapping,3.983999968,11.18599987,6.282000065,1
31,Kidnapping,-1.684999943,10.26599979,4.597000122,1
32,Kidnapping,1.072999954,10.72599983,0.91900003,1
33,Kidnapping,-1.225000024,7.660999775,5.056000233,1
34,Kidnapping,1.531999946,7.660999775,1.684999943,1
35,Kidnapping,2.911000013,9.039999962,1.378999949,1
36,Kidnapping,6.589000225,13.79100037,1.072000027,1
37,Kidnapping,2.451999903,6.434999943,6.282000065,1
38,Kidnapping,1.378999949,8.734000206,6.742000103,1
39,Kidnapping,1.991999984,9.652999878,7.507999897,1
40,Kidnapping,1.991999984,9.652999878,7.048999786,1
41,Kidnapping,0.305999994,6.894999981,6.742000103,1
42,Kidnapping,-1.225000024,4.44299984,5.975999832,1
43,Kidnapping,-2.604000092,4.75,4.902999878,1
44,Kidnapping,6.129000187,9.194000244,1.378999949,1
45,Kidnapping,6.43599987,11.18599987,0.612999976,1
46,Kidnapping,5.362999916,5.822000027,0.458999991,1
47,Kidnapping,3.83100009,4.75,0.91900003,1
48,Kidnapping,10.2670002,7.660999775,5.362999916,1
49,Kidnapping,7.202000141,9.960000038,6.589000225,1
50,Kidnapping,5.515999794,4.902999878,5.975999832,1
1,Indoor,-0.305999994,7.967999935,-0.611999989,0
2,Indoor,0.460000008,9.5,-1.684999943,0
3,Indoor,1.531999946,10.11299992,-0.91900003,0
4,Indoor,0,13.33100033,-3.063999891,0
5,Indoor,0.612999976,8.274000168,-4.289999962,0
6,Indoor,0.91900003,9.652999878,-2.144999981,0
7,Indoor,-0.305999994,9.039999962,-3.98300004,0
8,Indoor,0.460000008,9.80700016,-2.298000097,0
9,Indoor,0.152999997,8.581000328,-3.217000008,0
10,Indoor,0.460000008,8.887000084,-2.604000092,0
11,Indoor,0.765999973,8.887000084,-2.604000092,0
12,Indoor,0.765999973,12.10499954,-2.756999969,0
13,Indoor,1.991999984,11.18599987,-1.378000021,0
14,Indoor,1.378999949,6.434999943,0.612999976,0
15,Indoor,5.05700016,10.72599983,-3.677000046,0
16,Indoor,2.451999903,8.274000168,-0.611999989,0
17,Indoor,2.451999903,8.734000206,-2.911000013,0
18,Indoor,2.144999981,9.194000244,-1.991000056,0
19,Indoor,3.523999929,12.87100029,-2.450999975,0
